skupina_diagnoz;kod_hlavnej_diagnozy;nazov_diagnozy
Degeneratívne ochorenia nervového systému - vybrané diagnózy II.;g241;Idiopatická familiárna dystónia
Degeneratívne ochorenia nervového systému - vybrané diagnózy II.;g242;Idiopatická nefamiliárna dystónia
Degeneratívne ochorenia nervového systému - vybrané diagnózy II.;g255;Iná chorea
Degeneratívne ochorenia nervového systému - vybrané diagnózy II.;g312;Degenerácia nervovej sústavy zapríčinená alkoholom
Degeneratívne ochorenia nervového systému - vybrané diagnózy II.;g3181;Mitochondriová cytopatia
Degeneratívne ochorenia nervového systému - vybrané diagnózy II.;g3182;Demencia s Lewyho telieskami
Degeneratívne ochorenia nervového systému - vybrané diagnózy II.;g3188;Iná degeneratívna choroba nervovej sústavy, bližšie určená
Degeneratívne ochorenia nervového systému - vybrané diagnózy II.;g319;Degeneratívna choroba nervovej sústavy, bližšie neurčená
Degeneratívne ochorenia nervového systému - vybrané diagnózy II.;g320;Subakútna kombinovaná degenerácia miechy pri chorobách zatriedených inde
Degeneratívne ochorenia nervového systému - vybrané diagnózy II.;g328;Iná bližšie určená degeneratívna choroba nervovej sústavy pri chorobách zatriedených inde
Diabetes mellitus s komplikáciami;e1020;Diabetes mellitus 1. typu: s obličkovými komplikáciami, kompenzovaný
Diabetes mellitus s komplikáciami;e1021;Diabetes mellitus 1. typu: s obličkovými komplikáciami, dekompenzovaný
Diabetes mellitus s komplikáciami;e1050;Diabetes mellitus 1. typu: s periférnymi cievnymi komplikáciami, kompenzovaný
Diabetes mellitus s komplikáciami;e1051;Diabetes mellitus 1. typu: s periférnymi cievnymi komplikáciami, dekompenzovaný
Diabetes mellitus s komplikáciami;e1074;Diabetes mellitus 1. typu: s mnohopočetnými komplikáciami, so syndrómom diabetickej nohy, kompenzovaný
Diabetes mellitus s komplikáciami;e1075;Diabetes mellitus 1. typu: s mnohopočetnými komplikáciami, so syndrómom diabetickej nohy, dekompenzovaný
Diabetes mellitus s komplikáciami;e1120;Diabetes mellitus 2. typu: s obličkovými komplikáciami, kompenzovaný
Diabetes mellitus s komplikáciami;e1121;Diabetes mellitus 2. typu: s obličkovými komplikáciami, dekompenzovaný
Diabetes mellitus s komplikáciami;e1150;Diabetes mellitus 2. typu: s periférnymi cievnymi komplikáciami, kompenzovaný
Diabetes mellitus s komplikáciami;e1151;Diabetes mellitus 2. typu: s periférnymi cievnymi komplikáciami, dekompenzovaný
Diabetes mellitus s komplikáciami;e1174;Diabetes mellitus 2. typu: s mnohopočetnými komplikáciami, so syndrómom diabetickej nohy, kompenzovaný
Diabetes mellitus s komplikáciami;e1175;Diabetes mellitus 2. typu: s mnohopočetnými komplikáciami, so syndrómom diabetickej nohy, dekompenzovaný
Diabetes mellitus s komplikáciami;e1220;Diabetes mellitus spojený s podvýživou: s obličkovými komplikáciami, kompenzovaný
Diabetes mellitus s komplikáciami;e1221;Diabetes mellitus spojený s podvýživou: s obličkovými komplikáciami, dekompenzovaný
Diabetes mellitus s komplikáciami;e1230;Diabetes mellitus spojený s podvýživou: s očnými komplikáciami, kompenzovaný
Diabetes mellitus s komplikáciami;e1231;Diabetes mellitus spojený s podvýživou: s očnými komplikáciami, dekompenzovaný
Diabetes mellitus s komplikáciami;e1250;Diabetes mellitus spojený s podvýživou: s periférnymi cievnymi komplikáciami, kompenzovaný
Diabetes mellitus s komplikáciami;e1251;Diabetes mellitus spojený s podvýživou: s periférnymi cievnymi komplikáciami, dekompenzovaný
Diabetes mellitus s komplikáciami;e1320;Iný diabetes mellitus, bližšie určený: s obličkovými komplikáciami, kompenzovaný
Diabetes mellitus s komplikáciami;e1321;Iný diabetes mellitus, bližšie určený: s obličkovými komplikáciami, dekompenzovaný
Diabetes mellitus s komplikáciami;e1330;Iný diabetes mellitus, bližšie určený: s očnými komplikáciami, kompenzovaný
Diabetes mellitus s komplikáciami;e1331;Iný diabetes mellitus, bližšie určený: s očnými komplikáciami, dekompenzovaný
Diabetes mellitus s komplikáciami;e1350;Iný diabetes mellitus, bližšie určený: s periférnymi cievnymi komplikáciami, kompenzovaný
Diabetes mellitus s komplikáciami;e1351;Iný diabetes mellitus, bližšie určený: s periférnymi cievnymi komplikáciami, dekompenzovaný
Diabetes mellitus s komplikáciami;e1420;Diabetes mellitus, bližšie neurčený: s obličkovými komplikáciami, kompenzovaný
Diabetes mellitus s komplikáciami;e1421;Diabetes mellitus, bližšie neurčený: s obličkovými komplikáciami, dekompenzovaný
Diabetes mellitus s komplikáciami;e1430;Diabetes mellitus, bližšie neurčený: s očnými komplikáciami, kompenzovaný
Diabetes mellitus s komplikáciami;e1431;Diabetes mellitus, bližšie neurčený: s očnými komplikáciami, dekompenzovaný
Diabetes mellitus s komplikáciami;e1450;Diabetes mellitus, bližšie neurčený: s periférnymi cievnymi komplikáciami, kompenzovaný
Diabetes mellitus s komplikáciami;e1451;Diabetes mellitus, bližšie neurčený: s periférnymi cievnymi komplikáciami, dekompenzovaný
Diabetes mellitus v gravidite;o239;Iná a bližšie neurčená infekcia močovopohlavných orgánov v gravidite
Diabetes mellitus v gravidite;o240;Diabetes mellitus v gravidite: predtým existujúci diabetes mellitus, typ 1 (diabetes mellitus primárne závislý od inzulínu)
Diabetes mellitus v gravidite;o241;Diabetes mellitus v gravidite: predtým existujúci diabetes mellitus, typ 2 (diabetes mellitus primárne nezávislý od inzulínu)
Diabetes mellitus v gravidite;o242;Diabetes mellitus v gravidite: predtým existujúci diabetes mellitus súvisiaci s podvýživou
Diabetes mellitus v gravidite;o243;Diabetes mellitus v gravidite: predtým existujúci diabetes mellitus, bližšie neurčený
Diabetes mellitus v gravidite;o244;Diabetes mellitus so vznikom v gravidite
Diabetes mellitus v gravidite;o249;Diabetes mellitus v gravidite, bližšie neurčený
Dorzopatia a poruchy nervových koreňov - vybrané diagnózy;g545;Neuralgická amyotrofia
Dorzopatia a poruchy nervových koreňov - vybrané diagnózy;m4800;Stenóza spinálneho kanála na viacerých miestach chrbtice
Dorzopatia a poruchy nervových koreňov - vybrané diagnózy;m4801;Stenóza spinálneho kanála v okcipito-atlanto-axiálnej oblasti
Dorzopatia a poruchy nervových koreňov - vybrané diagnózy;m4802;Stenóza spinálneho kanála v krčnej oblasti
Dorzopatia a poruchy nervových koreňov - vybrané diagnózy;m4803;Stenóza spinálneho kanála v krčnohrudníkovej oblasti
Dorzopatia a poruchy nervových koreňov - vybrané diagnózy;m4804;Stenóza spinálneho kanála v hrudníkovej oblasti
Dorzopatia a poruchy nervových koreňov - vybrané diagnózy;m4805;Stenóza spinálneho kanála v hrudníkovodriekovej oblasti
Dorzopatia a poruchy nervových koreňov - vybrané diagnózy;m4806;Stenóza spinálneho kanála v driekovej oblasti
Dorzopatia a poruchy nervových koreňov - vybrané diagnózy;m4807;Stenóza spinálneho kanála v driekovokrížovej oblasti
Dorzopatia a poruchy nervových koreňov - vybrané diagnózy;m4808;Stenóza spinálneho kanála v krížovej a krížovokostrčovej oblasti
Dorzopatia a poruchy nervových koreňov - vybrané diagnózy;m4809;Stenóza spinálneho kanála: oblasť bližšie neurčená
Dorzopatia a poruchy nervových koreňov - vybrané diagnózy;m500;Poškodenie krčnej medzistavcovej platničky s myelopatiou (G99.2*)
Dorzopatia a poruchy nervových koreňov - vybrané diagnózy;m501;Poškodenie krčnej medzistavcovej platničky s radikulopatiou
Dorzopatia a poruchy nervových koreňov - vybrané diagnózy;m5320;Instabilita chrbtice na viacerých miestach
Dorzopatia a poruchy nervových koreňov - vybrané diagnózy;m5321;Instabilita chrbtice v okcipito-atlanto-axiálnej oblasti
Dorzopatia a poruchy nervových koreňov - vybrané diagnózy;m5322;Instabilita chrbtice v krčnej oblasti
Dorzopatia a poruchy nervových koreňov - vybrané diagnózy;m5323;Instabilita chrbtice v krčnohrudníkovej oblasti
Dorzopatia a poruchy nervových koreňov - vybrané diagnózy;m5324;Instabilita chrbtice v hrudníkovej oblasti
Dorzopatia a poruchy nervových koreňov - vybrané diagnózy;m5325;Instabilita chrbtice v hrudníkovodriekovej oblasti
Dorzopatia a poruchy nervových koreňov - vybrané diagnózy;m5326;Instabilita chrbtice v driekovej oblasti
Dorzopatia a poruchy nervových koreňov - vybrané diagnózy;m5327;Instabilita chrbtice v driekovokrížovej oblasti
Dorzopatia a poruchy nervových koreňov - vybrané diagnózy;m5328;Instabilita chrbtice v krížovej a krížovokostrčovej oblasti
Dorzopatia a poruchy nervových koreňov - vybrané diagnózy;m5329;Instabilita chrbtice: oblasť bližšie neurčená
Echinokokóza;b670;Cystická echinokokóza pečene zapríčinená Echinococcus granulosus
Echinokokóza;b675;Alveolová echinokokóza pečene zapríčinená Echinococcus multilocularis
Echinokokóza;b678;Echinokokóza pečene, bližšie neurčená
Epilepsia a iné záchvaty;g253;Myoklonus
Epilepsia a iné záchvaty;g4000;Pseudo-Lennoxov syndróm
Epilepsia a iné záchvaty;g4001;Syndróm so sústavnými hrotmi a vlnami počas pomalého spánku [CSWS syndróm]
Epilepsia a iné záchvaty;g4002;Benígna psychomotorická epilepsia
Epilepsia a iné záchvaty;g4008;Iná idiopatická (fokálna) (parciálna) epilepsia a epileptický syndróm s fokálne začínajúcimi záchvatmi
Epilepsia a iné záchvaty;g4009;Lokalizovaná (fokálna) (parciálna) idiopatická epilepsia a epileptický syndróm s fokálne začínajúcimi záchvatmi, bližšie neurčená
Epilepsia a iné záchvaty;g401;Lokalizovaná (fokálna) (parciálna) symptomatická epilepsia a epileptický syndróm s jednotlivými fokálnymi záchvatmi
Epilepsia a iné záchvaty;g402;Lokalizovaná (fokálna, parciálna) symptomatická epilepsia a epileptický syndróm s komplexnými fokálnymi záchvatmi
Epilepsia a iné záchvaty;g403;Generalizovaná idiopatická epilepsia a epileptický syndróm
Epilepsia a iné záchvaty;g404;Iná generalizovaná epilepsia a epileptický syndróm
Epilepsia a iné záchvaty;g405;Osobitný epileptický syndróm
Epilepsia a iné záchvaty;g406;Záchvaty grand mal, bližšie neurčené, so záchvatmi, alebo bez záchvatov petit mal
Epilepsia a iné záchvaty;g407;Záchvaty petit, bližšie neurčené, bez záchvatov grand mal
Epilepsia a iné záchvaty;g408;Iná epilepsia
Epilepsia a iné záchvaty;g409;Epilepsia, bližšie neurčená
Epilepsia a iné záchvaty;g410;Status epilepticus grand mal
Epilepsia a iné záchvaty;g411;Status epilepticus petit mal
Epilepsia a iné záchvaty;g412;Status epilepticus s komplexnými fokálnymi záchvatmi
Epilepsia a iné záchvaty;g418;Iný status epilepticus
Epilepsia a iné záchvaty;g419;Status epilepticus, bližšie neurčený
Gastrointestinálne krvácanie;k3182;Angiodysplázia žalúdka a dvanástnika s prejavmi krvácania
Gastrointestinálne krvácanie;k5522;Angiodysplázia hrubého čreva, s krvácaním
Gastrointestinálne krvácanie;k5582;Angiodysplázia tenkého čreva, s krvácaním
Gastrointestinálne krvácanie;k920;Hemateméza
Gastrointestinálne krvácanie;k921;Meléna
Gastrointestinálne krvácanie;k922;Gastrointestinálne krvácanie, bližšie neurčené
Genetické syndrómové ochorenia;q850;Neurofibromatóza (benígna)
Genetické syndrómové ochorenia;q851;Tuberózna skleróza
Genetické syndrómové ochorenia;q900;Trizómia 21, meiotická nondisjunkcia
Genetické syndrómové ochorenia;q901;Trizómia 21, mozaicizmus (mitotická nondisjunkcia)
Genetické syndrómové ochorenia;q902;Trizómia 21, translokácia
Genetické syndrómové ochorenia;q909;Downov syndróm, bližšie neurčený
Genetické syndrómové ochorenia;q910;Trizómia 18, meiotická nondisjunkcia
Genetické syndrómové ochorenia;q911;Trizómia 18, mozaicizmus (mitotická nondisjunkcia)
Genetické syndrómové ochorenia;q912;Trizómia 18, translokácia
Genetické syndrómové ochorenia;q913;Edwardsov syndróm, bližšie neurčený
Genetické syndrómové ochorenia;q914;Trizómia 13, meiotická nondisjunkcia
Genetické syndrómové ochorenia;q915;Trizómia 13, mozaicizmus (mitotická nondisjunkcia)
Genetické syndrómové ochorenia;q916;Trizómia 13, translokácia
Genetické syndrómové ochorenia;q917;Patauov syndróm, bližšie neurčený
Genetické syndrómové ochorenia;q930;Kompletná chromozómová monozómia, meiotická nondisjunkcia
Genetické syndrómové ochorenia;q931;Kompletná chromozómová monozómia, mozaicizmus (mitotická nondisjunkcia)
Genetické syndrómové ochorenia;q932;Prsteňovitý alebo dicentrický chromozóm
Genetické syndrómové ochorenia;q933;Delécia krátkeho ramena chromozómu 4
Genetické syndrómové ochorenia;q934;Delécia krátkeho ramena chromozómu 5
Genetické syndrómové ochorenia;q935;Iná delécia časti chromozómu
Genetické syndrómové ochorenia;q936;Delécia viditeľná iba v prometafáze
Genetické syndrómové ochorenia;q937;Delécia s inou komplexnou prestavbou
Genetické syndrómové ochorenia;q938;Iná delécia autozómov
Genetické syndrómové ochorenia;q939;Delécia autozómov, bližšie neurčená
Hematologické a hematoonkologické ochorenia;c810;Nodulárny Hodgkinov lymfóm s prevahou lymfocytov
Hematologické a hematoonkologické ochorenia;c811;Klasický Hodgkinov lymfóm s nodulárnou sklerózou
Hematologické a hematoonkologické ochorenia;c812;Klasický Hodgkinov lymfóm so zmiešanou celularitou
Hematologické a hematoonkologické ochorenia;c813;Klasický Hodgkinov lymfóm chudobný na lymfocyty
Hematologické a hematoonkologické ochorenia;c814;Klasický Hodgkinov lymfóm bohatý na lymfocyty
Hematologické a hematoonkologické ochorenia;c817;Iný klasický Hodgkinov lymfóm
Hematologické a hematoonkologické ochorenia;c819;Hodgkinov lymfóm, bližšie neurčený
Hematologické a hematoonkologické ochorenia;c820;Folikulový lymfóm, štádium I
Hematologické a hematoonkologické ochorenia;c821;Folikulový lymfóm, štádium II
Hematologické a hematoonkologické ochorenia;c822;Folikulový lymfóm, štádium III, bližšie neurčený
Hematologické a hematoonkologické ochorenia;c823;Folikulový lymfóm, štádium IIIa
Hematologické a hematoonkologické ochorenia;c824;Folikulový lymfóm, štádium IIIb
Hematologické a hematoonkologické ochorenia;c825;Difúzny lymfóm folikulového centra
Hematologické a hematoonkologické ochorenia;c826;Kožný lymfóm folikulového centra
Hematologické a hematoonkologické ochorenia;c827;Iný typ folikulového lymfómu
Hematologické a hematoonkologické ochorenia;c829;Folikulový lymfóm, bližšie neurčený
Hematologické a hematoonkologické ochorenia;c830;Malobunkový lymfóm z B-buniek
Hematologické a hematoonkologické ochorenia;c831;Lymfóm z plášťových buniek
Hematologické a hematoonkologické ochorenia;c833;Difúzny veľkobunkový lymfóm z B-buniek
Hematologické a hematoonkologické ochorenia;c835;Lymfoblastový lymfóm
Hematologické a hematoonkologické ochorenia;c837;Burkittov lymfóm
Hematologické a hematoonkologické ochorenia;c838;Iný nefolikulový lymfóm
Hematologické a hematoonkologické ochorenia;c839;Nefolikulový lymfóm, bližšie neurčený
Hematologické a hematoonkologické ochorenia;c840;Mycosis fungoides
Hematologické a hematoonkologické ochorenia;c841;Sézaryho choroba
Hematologické a hematoonkologické ochorenia;c844;Periférny lymfóm z T-buniek, nezatriedený
Hematologické a hematoonkologické ochorenia;c845;Iný lymfóm zo zrelých T/NK-buniek
Hematologické a hematoonkologické ochorenia;c846;Anaplastický veľkobunkový lymfóm, ALK-pozitívny
Hematologické a hematoonkologické ochorenia;c847;Anaplastický veľkobunkový lymfóm, ALK-negatívny
Hematologické a hematoonkologické ochorenia;c848;Kožný lymfóm z T-buniek, bližšie neurčený
Hematologické a hematoonkologické ochorenia;c849;Lymfóm zo zrelých T/NK-buniek, bližšie neurčený
Hematologické a hematoonkologické ochorenia;c851;Lymfóm z B-buniek, bližšie neurčený
Hematologické a hematoonkologické ochorenia;c852;Mediastinálny (týmusový) veľkobunkový lymfóm z B-buniek
Hematologické a hematoonkologické ochorenia;c857;Iný bližšie určený typ non-Hodgkinovho lymfómu
Hematologické a hematoonkologické ochorenia;c859;Non-Hodgkinov lymfóm, bližšie neurčený
Hematologické a hematoonkologické ochorenia;c860;Extranodálny lymfóm z NK/T- buniek, nosový typ
Hematologické a hematoonkologické ochorenia;c861;Hepatosplenický lymfóm z T-buniek
Hematologické a hematoonkologické ochorenia;c862;Enteropatický (intestinálny) lymfóm z T-buniek
Hematologické a hematoonkologické ochorenia;c863;Podkožný panikulitíde podobný lymfóm z T-buniek
Hematologické a hematoonkologické ochorenia;c864;Blastový lymfóm z NK-buniek
Hematologické a hematoonkologické ochorenia;c865;Angioimunoblastový lymfóm z T-buniek
Hematologické a hematoonkologické ochorenia;c866;Primárna kožná CD30-pozitívna lymfoproliferatívna choroba z T-buniek
