kod_vykonu;nazov_vykonu;nazov_ms;kod_ms
5n1420;Totálna gastrektómia s ezofagojejunostómiou pomocou Roux-Y anastomózy bez tvorby rezervoára bez lymfadenektómie;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n1421;Totálna gastrektómia s ezofagojejunostómiou pomocou Roux-Y anastomózy bez tvorby rezervoára so systematickým čiastočným odstránením lymfatických uzlín;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n1422;Totálna gastrektómia s ezofagojejunostómiou pomocou Roux-Y anastomózy bez tvorby rezervoára s lymfadenektómiou;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n1430;Totálna gastrektómia s ezofagojejunostómiou pomocou Roux-Y anastomózy s tvorbou rezervoára bez lymfadenektómie;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n1431;Totálna gastrektómia s ezofagojejunostómiou pomocou Roux-Y anastomózy s tvorbou rezervoára so systematickým čiastočným odstránením lymfatických uzlín;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n1432;Totálna gastrektómia s ezofagojejunostómiou pomocou Roux-Y anastomózy s tvorbou rezervoára s lymfadenektómiou;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n14x00;Iná totálna gastrektómia bez subtotálnej resekcie pažeráka bez lymfadenektómie;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n14x01;Iná totálna gastrektómia bez subtotálnej resekcie pažeráka so systematickým čiastočným odstránením lymfatických uzlín;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n14x02;Iná totálna gastrektómia bez subtotálnej resekcie pažeráka s lymfadenektómiou;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n1500;Rozšírená subtotálna resekcia žalúdka s gastrojejunostómiou analogicky Billroth-II bez lymfadenektómie;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n1510;Rozšírená subtotálna resekcia žalúdka s gastrojejunostómiou pomocou Roux-Y-anastomózy bez lymfadenektómie;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n1520;Rozšírená subtotálna resekcia žalúdka s interpozíciou tenkého čreva bez lymfadenektómie;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n159;Rozšírená subtotálna resekcia žalúdka bez systematického odstránenia lymfatických uzlín, ostatné;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n15a2;Rozšírená subtotálna resekcia žalúdka s gastrojejunostómiou analogicky Billroth-II so systematickou lymfadenektómiou;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n15b2;Rozšírená subtotálna resekcia žalúdka s gastrojejunostómiou pomocou Roux-Y-anastomózy so systematickou lymfadenektómiou;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n15x;Rozšírená subtotálna resekcia žalúdka so systematickým odstránením lymfatických uzlín, ostatné;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n1600;Rozšírená gastrektómia (s resekciou iného susediaceho orgánu) s ezofagojejunostómiou analogicky Billroth-II bez tvorby rezervoára bez lymfadenektómie;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n1602;Rozšírená gastrektómia (s resekciou iného susediaceho orgánu) s ezofagojejunostómiou analogicky Billroth-II bez tvorby rezervoára so systematickou lymfadenektómiou;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n1610;Rozšírená gastrektómia (s resekciou iného susediaceho orgánu) s ezofagojejunostómiou analogicky Billroth-II s tvorbou rezervoára bez lymfadenektómie;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n1612;Rozšírená gastrektómia (s resekciou iného susediaceho orgánu) s ezofagojejunostómiou analogicky Billroth-II s tvorbou rezervoára so systematickou lymfadenektómiou;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n1620;Rozšírená gastrektómia (s resekciou iného susediaceho orgánu) s ezofagojejunostómiou pomocou Roux-Y-anastomózy bez tvorby rezervoára bez lymfadenektómie;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n1622;Rozšírená gastrektómia (s resekciou iného susediaceho orgánu) s ezofagojejunostómiou pomocou Roux-Y-anastomózy bez tvorby rezervoára so systematickou lymfadenektómiou;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n1630;Rozšírená gastrektómia (s resekciou iného susediaceho orgánu) s ezofagojejunostómiou pomocou Roux-Y-anastomózy s tvorbou rezervoára bez lymfadenektómie;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n1632;Rozšírená gastrektómia (s resekciou iného susediaceho orgánu) s ezofagojejunostómiou pomocou Roux-Y-anastomózy s tvorbou rezervoára so systematickou lymfadenektómiou;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n1662;Rozšírená gastrektómia, ektómia zbytkovej časti žalúdka so systematickou lymfadenektómiou;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n16x;Rozšírená gastrektómia (s resekciou iného susediaceho orgánu) so systematickou lymfadenektómiou, ostatné;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n16x0;Rozšírená gastrektómia (s resekciou iného susediaceho orgánu) bez lymfadenektómie, ostatné;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n18x2;Ostatné rekonštrukčné operácie na žalúdku, laparoskopicky;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n18x4;Ostatné rekonštrukčné operácie na žalúdku, konverzia z laparoskopie na laparotómiu;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n18xx;Ostatné rekonštrukčné operácie na žalúdku, ostatné;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n24401;Pravostranná hemikolektómia, laparotomicky s anastomózou;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n25002;Totálna kolektómia, otvorene chirurgicky s ileorektálnou anastomózou a rezervoárom;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n25004;Totálna kolektómia, otvorene chirurgicky s ileoanálnou anastomózou a rezervoárom;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n25026;Totálna kolektómia, laparoskopicky s anastomózou a rezervoárom;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n25102;Totálna proktokolektómia, otvorene chirurgicky s ileorektálnou anastomózou a rezervoárom;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n25104;Totálna proktokolektómia, otvorene chirurgicky s ileoanálnou anastomózou a rezervoárom;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n25126;Totálna proktokolektómia, laparoskopicky s anastomózou a rezervoárom;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n25202;Totálna kolektómia s proktomukosektómiou, otvorene chirurgicky s ileorektálnou anastomózou a rezervoárom;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n25204;Totálna kolektómia s proktomukosektómiou, otvorene chirurgicky s ileoanálnou anastomózou a rezervoárom;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n25226;Totálna kolektómia s proktomukosektómiou, laparoskopicky s anastomózou a rezervoárom;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n25x02;Iná totálna kolektómia a proktokolektómia, otvorene chirurgicky s ileorektálnou anastomózou a rezervoárom;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n25x04;Iná totálna kolektómia a proktokolektómia, otvorene chirurgicky s ileoanálnou anastomózou a s rezervoárom;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n25x26;Iná totálna kolektómia a proktokolektómia, laparoskopicky s anastomózou a rezervoárom;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n28202;Rozšírená subtotálna resekcia hrubého čreva s odstránením susedných orgánov, otvorene chirurgicky s enterostómiou a slepým uzáverom;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n28401;Rozšírená proktokolektómia s odstránením susedných orgánov, otvorene chirurgicky s anastomózou;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n28402;Rozšírená proktokolektómia s odstránením susedných orgánov, otvorene chirurgicky  s enterostómiou a slepým uzáverom;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n28403;Rozšírená proktokolektómia s odstránením susedných orgánov, otvorene chirurgicky  s dvomi enterostómiami;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n28404;Rozšírená proktokolektómia s odstránením susedných orgánov, otvorene chirurgicky  s anastomózou anus praeter;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n28420;Rozšírená proktokolektómia s odstránením susedných orgánov, laparoskopicky bez anastomózy;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n28421;Rozšírená proktokolektómia s odstránením susedných orgánov, laparoskopicky s anastomózou;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n2844;Rozšírená proktokolektómia s odstránením susedných orgánov, konverzia z laparoskopie na laparotómiu;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n284x;Rozšírená proktokolektómia s odstránením susedných orgánov, ostatné;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n34x0;Iné rekonštrukcie duodena;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n34x1;Iné rekonštrukcie jejuna;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n34x2;Iné rekonštrukcie ilea;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n34x3;Iné rekonštrukcie hrubého čreva;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n34xx;Iné rekonštrukcie čreva, ostatné;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n3920;Adheziolýza na čreve, laparotomicky;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n3922;Adheziolýza na čreve, laparoskopicky;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n431;Plastická rekonštrukcia konečníka;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n432;Uzavretie jednej dermorektálnej fistuly konečníka;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n43l0;Abdominálna rektopexia, laparotomicky;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n43l2;Abdominálna rektopexia, laparoskopicky;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n439;Rekonštrukcia konečníka, ostatné;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n43d;Sfinkterálna plastika anusu a sfinkterového aparátu;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n43x;Rekonštrukcia anusu a sfinkterového aparátu, ostatné;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n5100;Atypická resekcia chorého tkaniva pečene, lokálna excízia laparotomicky;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n5200;Anatomická resekcia jedného segmentu pečene, laparotomicky;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n5202;Anatomická resekcia jedného segmentu pečene, laparoskopicky;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n52110;Ľavostranná hemihepatektómia (resekcia segmentov 2, 3, 4a a 4b), laparotomicky;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n52112;Ľavostranná hemihepatektómia (resekcia segmentov 2, 3, 4a a 4b), laparoskopicky;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n52120;Ľavostranná bisegmentektómia pečene (lobektómia ľavostranná, resekcia segmentov 2 a 3), laparotomicky;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n52122;Ľavostranná bisegmentektómia pečene (lobektómia ľavostranná, resekcia segmentov 2 a 3), laparoskopicky;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n5213;Ľavostranná segmentektómia pečene (segment 4);Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n52210;Pravostranná hemihepatektómia (resekcia segmentov 5 až 8), laparotomicky;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n52212;Pravostranná hemihepatektómia (resekcia segmentov 5 až 8), laparoskopicky;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n52220;Trisegmentektómia pečene (resekcia segmentov 4 až 8), laparotomicky;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n52222;Trisegmentektómia pečene (resekcia segmentov 4 až 8), laparoskopicky;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n5223;Rozsiahla pravostranná hepatektómia (segmenty 4,5,6,7,8) alebo trisegmentómia;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n5224;Pravostranná zadná segmentektómia pečene (segment 6,7);Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n5225;Pravostranná predná segmentektómia pečene (segment 5,8);Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n52320;Mesohepatektómia (segment 4a, 4b, 5,8), laparotomicky;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n52322;Mesohepatektómia (segment 4a, 4b, 5,8), laparoskopicky;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n52340;Anatomická (typická) resekcia pečene, ostatné, laparotomicky;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n52341;Anatomická (typická) resekcia pečene, ostatné, laparoskopicky;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n6200;Cholecystektómia jednoduchá bez revízie žlčových ciest, laparotomicky;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n6241;Cholecystektómia simultánne bez operačnej revízie žlčových ciest počas jednej laparotómie z iných dôvodov;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n7200;Enukleácia nádoru pankreasu, laparotomicky;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n7202;Enukleácia nádoru pankreasu, laparoskopicky;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n7210;Parciálna ľavostranná pankreatektómia bez anastomózy, laparotomicky;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n7212;Parciálna ľavostranná pankreatektómia bez anastomózy, laparoskopicky;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n7214;Parciálna ľavostranná pankreatektómia bez anastomózy, konverzia z laparoskopie na laparotómiu;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n7224;Parciálna pankreatektómia s čiastočnou resekciou žalúdka (cefalická duodenopankreatektómia);Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n7231;Totálna pankreatektómia s parciálnou resekciou žalúdka;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n7232;Totálna pankreatektómia so zachovaním pyloru;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n72x0;Parciálna pankreatektómia, ostatné;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n72x1;Totálna pankreatektómia, ostatné;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n7910;Incízia papily pankreasu [papilotómia], laparotomicky;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n7912;Incízia papily pankreasu [papilotómia], laparoskopicky;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n7914;Incízia papily pankreasu [papilotómia], konverzia z laparoskopie na laparotómiu;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n791x;Incízia papily pankreasu [papilotómia], ostatné;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n910;Biopsia peritonea laparotomicky;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n92c;Omentektómia peritoneálneho tkaniva;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n92d0;Parciálna parietálna peritoneálna ektómia peritoneálneho tkaniva;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n92d1;Subtotálna parietálna peritoneálna ektómia peritoneálneho tkaniva;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5o90650;Resekcia nádoru retroperitonea v brušnej oblasti, laparotomicky;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5o90651;Resekcia nádoru retroperitonea v malej panve, laparotomicky;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5o9071;Radikálna paraaortálna lymfadenektómia v kombinácii s inými operáciami, laparotomicky;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5o9072;Radikálna paraaortálna lymfadenektómia v kombinácii s inými operáciami, lumbotomicky;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5o9073;Radikálna paraaortálna lymfadenektómia v kombinácii s inými operáciami, perkutánne;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5o9074;Radikálna paraaortálna lymfadenektómia v kombinácii s inými operáciami, laparoskopicky;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5o907x;Radikálna paraaortálna lymfadenektómia v kombinácii s inými operáciami, ostatné;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5o9081;Radikálna panvová lymfadenektómia v kombinácii s inými operáciami, laparotomicky;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5o9082;Radikálna panvová lymfadenektómia v kombinácii s inými operáciami, lumbotomicky;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5o9083;Radikálna panvová lymfadenektómia v kombinácii s inými operáciami, perkutánne;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5o9084;Radikálna panvová lymfadenektómia v kombinácii s inými operáciami, laparoskopicky;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5o908x;Radikálna panvová lymfadenektómia v kombinácii s inými operáciami, ostatné;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5o9091;Resekcia tkaniva bez presného určenia vzťahu k orgánu, laparotomicky;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5o9092;Resekcia tkaniva bez presného určenia vzťahu k orgánu, lumbotomicky;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5o9093;Resekcia tkaniva bez presného určenia vzťahu k orgánu, perkutánne;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5o9094;Resekcia tkaniva bez presného určenia vzťahu k orgánu, laparoskopicky;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5o909x;Resekcia tkaniva bez presného určenia vzťahu k orgánu, ostatné;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5o90x1;Iná incízia a excízia retroperitoneálneho tkaniva, laparotomicky;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5o90x2;Iná incízia a excízia retroperitoneálneho tkaniva, lumbotomicky;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5o90x4;Iná incízia a excízia retroperitoneálneho tkaniva, laparoskopicky;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5o90x5;Iná incízia a excízia retroperitoneálneho tkaniva, perkutánne;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5o90xx;Iná incízia a excízia retroperitoneálneho tkaniva, ostatné;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5p3071;"Radikálna orchiektómia s epididymektómiou a odstránením ""spermatic cord""";Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5q0130;Radikálna ovarektómia (sekundárny debulking- cytoredukcia), laparotomicky;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5q0134;Radikálna ovarektómia (sekundárny debulking- cytoredukcia), laparoskopicky;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5q0138;Radikálna ovarektómia (sekundárny debulking- cytoredukcia), roboticky;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5q0140;Radikálna ovarektómia, laparotomicky;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5q0144;Radikálna ovarektómia, laparoskopicky;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5q0148;Radikálna ovarektómia, roboticky;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5q0310;Adnexektómia, laparotomicky;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5q0314;Adnexektómia, laparoskopicky;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5q0318;Adnexektómia, roboticky;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5q4050;Pelvická exenterácia, laparotomicky;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5q4054;Pelvická exenterácia, laparoskopicky;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5q4058;Pelvická exenterácia, roboticky;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5q42800;Radikálna hysterektómia s odstránením vaječníka alebo vaječníkov, abdominálne;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5q42804;Radikálna hysterektómia s odstránením vaječníka alebo vaječníkov, laparoskopicky;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5q42808;Radikálna hysterektómia s odstránením vaječníka alebo vaječníkov, roboticky;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5q42810;Radikálna hysterektómia s odstránením vaječníka alebo vaječníkov, abdominálne a detekcia sentinelových lymfatických uzlín;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
