skupina_diagnoz;kod_hlavnej_diagnozy;nazov_hlavnej_diagnozy;kod_markera;hodnota_markera;kod_ms;nazov_ms
Diagnózy v pracovnom lekárstve;r937;Abnormálny nález pri diagnostickom zobrazení iných častí svalovej a kostrovej sústavy;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;r938;Abnormálny nález pri diagnostickom zobrazení iných bližšie určených telových štruktúr;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;r94-;Abnormálne výsledky funkčných vyšetrení;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;t66;Bližšie neurčené účinky žiarenia;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;t67-;Účinky tepla a svetla;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;t68;Podchladenie;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;t691;Oziabliny;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;t698;Iný účinok zníženej teploty, bližšie určený;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;t699;Účinok zníženej teploty, bližšie neurčený;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;t70-;Účinok tlaku vzduchu a tlaku vody;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;t750;Účinok blesku;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;t751;Utopenie a topenie (nie smrteľné);mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;t752;Účinky vibrácie;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;t754;Účinok elektrického prúdu;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;t758;Iný účinok z vonkajších príčin, bližšie určený;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;t784;Alergia, bližšie neurčená;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;t96;Neskoré následky otravy liekmi, liečivami a biologicky aktívnymi látkami;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;t97;Neskoré následky toxických účinkov látky používanej najmä mimo lekárstva;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;w423;Poranenie účinkom hluku - MU: Športové a atletické priestranstvo;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;w424;Poranenie účinkom hluku - MU: Ulica a cesta;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;w425;Poranenie účinkom hluku - MU: Obchod a služby;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;w426;Poranenie účinkom hluku - MU: Priemyselné objekty;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;w427;Poranenie účinkom hluku - MU: Poľnohospodárske;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;w428;Poranenie účinkom hluku - MU: Iné špecifikované miesta;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;w429;Poranenie účinkom hluku - MU: Nešpecifikované miesto;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;w434;Poškodenie účinkom vibrácií - MU: Ulica a cesta;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;w435;Poškodenie účinkom vibrácií - MU: Obchod a služby;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;w436;Poškodenie účinkom vibrácií - MU: Priemyselné objekty;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;w437;Poškodenie účinkom vibrácií - MU: Poľnohospodárske;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;w438;Poškodenie účinkom vibrácií - MU: Iné špecifikované miesta;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;w439;Poškodenie účinkom vibrácií - MU: Nešpecifikované miesto;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;w885;Poškodenie ionizujúcim žiarením - MU: Obchod a služby;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;w886;Poškodenie ionizujúcim žiarením - MU: Priemyselné objekty;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;w887;Poškodenie ionizujúcim žiarením - MU: Poľnohospodárske;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;w888;Poškodenie ionizujúcim žiarením - MU: Iné špecifikované miesta;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;w889;Poškodenie ionizujúcim žiarením - MU: Nešpecifikované miesto;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;w894;Poškodenie umelým viditeľným a ultrafialovým svetlom - MU: Ulica a cesta;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;w895;Poškodenie umelým viditeľným a ultrafialovým svetlom - MU: Obchod a služby;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;w896;Poškodenie umelým viditeľným a ultrafialovým svetlom - MU: Priemyselné objekty;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;w897;Poškodenie umelým viditeľným a ultrafialovým svetlom - MU: Poľnohospodárske;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;w898;Poškodenie umelým viditeľným a ultrafialovým svetlom - MU: Iné špecifikované miesta;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;w899;Poškodenie umelým viditeľným a ultrafialovým svetlom - MU: Nešpecifikované miesto;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;w904;Poškodenie iným neionizujúcim žiarením - MU: Ulica a cesta;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;w905;Poškodenie iným neionizujúcim žiarením - MU: Obchod a služby;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;w906;Poškodenie iným neionizujúcim žiarením - MU: Priemyselné objekty;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
