cislo_programu;kod_ms;zdielana_ms;nazov_ms;sposob_urcenia;uroven_ms_dospeli;uroven_ms_deti_0;uroven_ms_deti_1;uroven_ms_deti_7;uroven_ms_deti_16;povinnost_ms_V;povinnost_ms_IV;povinnost_ms_III;povinnost_ms_II;povinnost_ms_I;casova_dostupnost;minimum_na_nemocnicu;minimum_na_lekara
2;S07-04;True;Ostatné špecializované operačné výkony na pažeráku;V;4;;;;;P;N;;;;;;
2;S05-16;True;Iný maxilofaciálny výkon;V;4;;;;;P;P;;;;;15;5
2;S05-12;True;Komplexné výkony na jazyku, hltane, hrtane, LU;V;4;;;;;P;P;;;;30;;
2;S05-11;True;Operačné výkony na hltane, hrtane a priedušnici;V;4;;;;;P;P;;;;90;;
2;S02-30;False;Výkony pre poranenia artérií a vén;V;3;;;;;P;P;P;;;;;
2;S02-29;False;Výkony vnútrohrudné akútne pre traumu;V;3;;;;;P;P;N;;;;;
2;S02-28;False;Iné výkony na chrbtici pre traumu a poúrazové stavy;VD;3;;;;;P;P;P;;;;;
2;S02-27;False;Dekompresia miešneho kanála pre traumu a poúrazové stavy;VD;3;;;;;P;P;P;;;;;
2;S02-26;False;Iné stabilizácie na chrbtici pre traumu a poúrazové stavy;VD;3;;;;;P;P;P;;;;;
2;S02-25;False;Stabilizácie chrbtice pre traumu a poúrazové stavy;VD;3;;;;;P;P;P;;;;;
2;S02-24;False;Spondylodéza pre traumu a poúrazové stavy;VD;3;;;;;P;P;P;;;;;
2;S02-23;False;Komplexná spondylodéza pre traumu a poúrazové stavy;VD;3;;;;;P;P;N;;;;;
2;S02-22;False;Komplexné výkony na chrbtici pre traumu a poúrazové stavy;VD;3;;;;;P;P;N;;;;;
2;S02-06;False;Replantácie;VD;3;;;;;P;P;N;;;;;
2;S02-05;False;Osteosyntéza panvy a acetabula;V;3;;;;;P;P;N;;;;25;
2;S02-04;False;Osteosyntéza pre poúrazové stavy a komplikácie iná;VD;3;;;;;P;P;N;;;;;
2;S02-03;False;Odstránenie osteosyntézy zložité;V;3;;;;;P;P;N;;;;;
2;S02-02;False;Polytrauma a združené poranenia;DRGD;3;;;;;P;P;P;;;;;
2;S19-05;True;Operačné výkony na cievach - vény a iné;V;3;;;;;P;P;P;;;360;;
2;S19-04;True;Operačné výkony na cievach - končatiny;V;3;;;;;P;P;P;;;360;70;
2;S19-03;True;Operačné výkony na cievach - aortoiliacká oblasť;V;3;;;;;P;P;P;;;360;50;
2;S19-02;True;Operačné výkony na cievach - supraaortové vetvy;V;3;;;;;P;P;P;;;360;30;
2;S15-07;True;Komplexné výkony na koži a podkoží B;V;3;;;;;P;P;P;;;90;;
2;S14-04;True;Komplexné lalokové plastiky;V;3;;;;;P;P;P;;;90;;
2;S13-14;True;Iný operačný výkon na panve;V;3;;;;;P;P;P;;;;;
2;S13-13;True;Iný základný výkon na rastúcom skelete;V;3;;;;;P;P;P;;;;;
2;S13-12;True;Osteotómia panvy a proximálneho femoru;V;3;;;;;P;P;P;;;;10;
2;S13-11;True;Alogénna transplantácia kostného tkaniva;V;3;;;;;P;P;P;;;;;
2;S13-10;True;Revízna endoprotetika kolenného kĺbu;V;3;;;;;P;P;P;;;180;15;5
2;S13-09;True;Komplexné amputácie a exartikulácie;V;3;;;;;P;P;P;;;;;
2;S09-14;True;Komplexné výkony na mužských pohlavných orgánoch;V;3;;;;;P;P;P;;;180;5;
2;S09-10;True;Komplexné výkony na močovode;V;3;;;;;P;P;P;;;90;10;
2;S09-08;True;Ostatné komplexné výkony na obličke;V;3;;;;;P;P;P;;;120;10;
2;S09-06;True;Nefrektómia;V;3;;;;;P;P;P;;;180;30;
2;S08-21;True;Iné operačné výkony na pankrease;V;3;;;;;P;P;N;;;30;15;
2;S08-19;True;Ostatné operačné výkony na pečeni;V;3;;;;;P;P;N;;;45;15;
2;S08-18;True;Lumbotómia a iné komplexné výkony v brušnej oblasti;V;3;;;;;P;P;N;;;;;
2;S08-13;True;Rozšírená a komplexná resekcia čreva;V;3;;;;;P;P;N;;;60;20;
2;S07-12;True;Popáleniny hrtana a priedušnice;D;3;;;;;P;P;P;;;;;
2;S07-08;True;Operačné výkony na hrudnej stene, pleure a bránici;V;3;;;;;P;P;P;;;;80;
2;S07-07;True;Operačné výkony na mediastine;V;3;;;;;P;P;P;;;;70;
2;S07-06;True;Resekcie pľúc a ostatné operačné výkony na pľúcach a prieduškách;V;3;;;;;P;P;P;;;;170;
2;S06-03;True;Ostatné maxilofaciálne výkony II.;V;3;;;;;P;P;P;;;120;70;10
2;S05-26;True;Operačné výkony na nose a nosovej dutine;V;3;;;;;P;P;N;;;;;
2;S05-22;True;Operačné výkony v dutine ústnej alebo na perách;V;3;;;;;P;P;N;;;90;;
2;S03-54;True;Operácia pre úžinový syndróm na hornej končatine;V;3;;;;;P;P;P;;;180;10;
2;S03-53;True;Operačné výkony na nervoch a nervových gangliách;V;3;;;;;P;P;P;;;90;10;
2;S03-52;True;Iné kraniálne výkony;V;3;;;;;P;P;P;;;;10;
2;S03-51;True;Likvorová drenáž;V;3;;;;;P;P;P;;;;10;
2;S03-50;True;Plastika dury a kalvy;V;3;;;;;P;P;P;;;;10;
2;S03-47;True;Evakuácia chronického subdurálneho hematómu;V;3;;;;;P;P;P;;;;10;
2;S03-45;True;Trauma mozgu s komplexným výkonom;V;3;;;;;P;P;P;;;;10;
2;S03-34;True;Evakuácia epidurálneho hematómu;V;3;;;;;P;P;P;;;;10;
2;S02-67;False;Zlyhanie a odvrhnutie transplantátu kože;D;2;;;;;P;P;P;P;;;;
2;S02-66;False;Komplikácie po úraze;D;2;;;;;P;P;P;P;;;;
2;S02-65;False;Omrzliny;D;2;;;;;P;P;P;P;;;;
2;S02-64;False;Ťažké poranenia pohybového systému;D;2;;;;;P;P;P;P;;;;
2;S02-63;False;Stredne ťažké poranenia pohybového systému;D;2;;;;;P;P;P;P;;;;
2;S02-62;False;Ľahké poranenia pohybového systému;D;2;;;;;P;P;P;P;;;;
2;S02-61;False;Zlomenina panvy a stehnovej kosti;D;2;;;;;P;P;P;P;;;;
2;S02-60;False;Ťažké poranenia;D;2;;;;;P;P;P;P;;;;
2;S02-59;False;Poranenia miechy a chrbtice;D;2;;;;;P;P;P;P;;;;
2;S02-58;False;Poranenie orgánu;D;2;;;;;P;P;P;P;;;;
2;S02-57;False;Ťažký úraz hrudníka;D;2;;;;;P;P;P;P;;;;
2;S02-56;False;Otras mozgu a povrchové poranenia hlavy;D;2;;;;;P;P;P;P;;;;
2;S02-55;False;Intrakraniálne poranenia a zlomeniny kránia;D;2;;;;;P;P;P;P;;;;
2;S02-54;False;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí;D;2;;;;;P;P;P;P;;;;
2;S02-53;False;Výkony vnútrobrušné pre traumu;V;2;;;;;P;P;P;P;;;;
2;S02-52;False;Terapeutická drenáž hrudníka;V;2;;;;;P;P;P;P;;;;
2;S02-48;False;Iné výkony na kostiach pre traumu a poúrazové stavy;VD;2;;;;;P;P;P;N;;;15;
2;S02-41;False;Revízia osteosyntézy;V;2;;;;;P;P;P;P;;;;
2;S02-40;False;Zatvorená repozícia luxácie a osteosyntéza;V;2;;;;;P;P;P;N;;;;
2;S02-39;False;Otvorená repozícia luxácie a fixácia;V;2;;;;;P;P;P;N;;;25;
2;S02-38;False;Osteosyntéza trieštivej zlomeniny;V;2;;;;;P;P;P;N;;;25;
2;S02-37;False;Osteosyntéza jednoduchej zlomeniny iná;V;2;;;;;P;P;P;N;;;;
2;S02-36;False;Osteosyntéza jednoduchej zlomeniny;V;2;;;;;P;P;P;P;;;;
2;S02-35;False;Osteosyntéza pre poúrazové stavy a komplikácie;VD;2;;;;;P;P;P;N;;;;
2;S02-34;False;Odstránenie osteosyntézy;V;2;;;;;P;P;P;P;;;;
2;S02-33;False;Osteosyntéza zlomeniny hruhovým externým fixátorom;V;2;;;;;P;P;P;N;;;;
2;S02-32;False;Osteosyntéza zlomeniny externým fixátorom;V;2;;;;;P;P;P;P;;;;
2;S02-31;False;Chirurgické ošetrenie zlomeniny bez osteosyntézy;V;2;;;;;P;P;P;P;;;;
2;S37-19;True;Manažment bolesti;D;2;;;;;P;P;N;N;;;;
2;S37-11;True;Iné ochorenia NS;D;2;;;;;P;P;P;P;;;;
2;S37-10;True;Ochorenia mozgových a periférnych nervov;D;2;;;;;P;P;P;P;;;;
2;S30-08;True;Insuficiencia obličiek;D;2;;;;;P;P;P;P;;;;
2;S27-28;True;Základné výkony diagnostické a terapeutické výkony v pneumológii;V;2;;;;;P;P;P;N;;;;
2;S16-04;True;Malé výkony na koži a podkoží pri popáleninách a poleptaniach;V;2;;;;;P;P;P;P;;;;
2;S14-15;True;Vyčistenie rany s odstránením patologického tkaniva;V;2;;;;;P;P;P;P;;90;;
2;S14-14;True;Voľná transplantácia kože;V;2;;;;;P;P;P;P;;90;;
2;S14-11;True;Laloková plastika;V;2;;;;;P;P;P;P;;90;;
2;S14-10;True;Iné výkony na koži a podkoží;V;2;;;;;P;P;P;P;;90;;
2;S13-46;True;Iné ochorenia pohybového systému;D;2;;;;;P;P;P;P;;;;
2;S13-43;True;Prenos kostného tkaniva;V;2;;;;;N;N;N;N;;;;
2;S13-42;True;Otvorená rekonštrukcia väzivového aparátu kĺbu;V;2;;;;;N;N;N;N;;;;
2;S13-40;True;Zložité artroskopické výkony na kolennom kĺbe;V;2;;;;;N;N;N;N;;;20;
2;S13-39;True;Rekonštrukčné výkony na kĺboch;V;2;;;;;N;N;N;N;;;20;
2;S13-38;True;Operačné výkony na ramennom kĺbe;V;2;;;;;N;N;N;N;;;;
2;S13-37;True;Operačné výkony na kolennom kĺbe;V;2;;;;;N;N;N;N;;;;
2;S13-36;True;Odber kostného transplantátu;V;2;;;;;N;N;N;N;;;;
2;S13-35;True;Komplexné operačné výkony na svaloch a šľachách;V;2;;;;;N;N;N;N;;;;
2;S13-34;True;Jednoduché osteotómie a korektívne osteotómie;V;2;;;;;N;N;N;N;;;20;
2;S13-33;True;Iné operačné výkony na kĺboch;V;2;;;;;N;N;N;N;;;;
2;S13-32;True;Iné amputácie a exartikulácie ;V;2;;;;;P;P;P;P;;;;
2;S13-31;True;Implantácia kostného cementu;V;2;;;;;N;N;N;N;;;;
2;S13-30;True;Excízie a resekcie kostného tkaniva;V;2;;;;;P;P;P;P;;;;
2;S13-29;True;Debridement mäkkých tkanív;V;2;;;;;P;P;P;P;;;;
2;S13-28;True;Artoskopické výkony na bedrovom kĺbe;V;2;;;;;N;N;N;N;;;20;
2;S13-27;True;Artroskopické riešenie kĺbovej infekcie;V;2;;;;;P;P;P;P;;;;
2;S13-26;True;Autológna transplantácia kostného tkaniva;V;2;;;;;N;N;N;N;;;;
2;S13-25;True;Iný základný výkon na kosti;V;2;;;;;P;P;P;P;;;;
2;S13-24;True;Korekcia kostnej deformity;V;2;;;;;P;P;P;P;;;;
2;S13-23;True;Revízne operácie iných endoprotéz;V;2;;;;;N;N;N;N;;;;
2;S13-22;True;Totálna endoprotéza bedrového kĺbu;V;2;;;;;P;P;P;P;;395;100;20
2;S13-21;True;Totálna endoprotéza iného kĺbu;V;2;;;;;N;N;N;N;;;;
2;S13-20;True;Totálna endoprotéza kolenného kĺbu;V;2;;;;;P;P;P;P;;425;100;20
2;S13-19;True;Komplexná korekcia deformity;V;2;;;;;P;P;P;N;;;;
2;S13-18;True;Revízna endoprotetika bedrového kĺbu;V;2;;;;;P;P;P;N;;180;30;10
2;S13-17;True;Primárna implantácia špeciálnej protézy kolenného a bedrového kĺbu;V;2;;;;;P;P;P;P;;180;20;
2;S09-24;True;Menej komplexné výkony na mužských pohlavných orgánoch;V;2;;;;;P;P;P;P;;180;10;
2;S09-22;True;Menej komplexné výkony na močovom mechúri;V;2;;;;;P;P;P;P;;90;10;
2;S09-21;True;Menej komplexné výkony pri ureterolitiáze;V;2;;;;;P;P;P;P;;90;20;
2;S08-31;True;Iné základné operačné výkony v brušnej oblasti;V;2;;;;;P;P;P;P;;;;
2;S08-29;True;Základné operačné výkony na čreve;V;2;;;;;P;P;P;P;;;;
2;S08-28;True;Základné operačné výkony na žalúdku;V;2;;;;;P;P;P;P;;;;
2;S08-27;True;Operačné výkony na slezine;V;2;;;;;P;P;P;P;;;;
2;S08-26;True;Jednoduchá resekcia čreva;V;2;;;;;P;P;P;P;;60;30;
2;S14-21;True;Revízia operačnej rany;V;1;;;;;P;P;N;N;N;90;;
2;S14-20;True;Malé výkony na koži a podkoží;V;1;;;;;P;P;P;P;N;;;
2;S14-19;True;Jednoduché lalokové plastiky;V;1;;;;;P;P;P;P;N;90;;
2;S14-18;True;Malé výkony na prsníku;V;1;;;;;P;P;P;P;N;90;;
2;S14-17;True;Jednoduché vyčistenie rany s odstránením patologického tkaniva;V;1;;;;;P;P;P;P;N;90;;
2;S13-59;True;Repozícia metakarpálnych kostí osteosyntézou;V;1;;;;;N;N;P;P;N;;;
2;S13-57;True;Iné artroskopické výkony;V;1;;;;;N;N;P;P;N;;25;
2;S13-56;True;Operačné výkony na kostiach a kĺboch ruky;V;1;;;;;N;N;P;P;N;;;
2;S13-55;True;Jednoduché operačné výkony na svaloch, šľachách, fasciách a burzách;V;1;;;;;N;N;P;P;N;;;
2;S13-54;True;Jednoduché operačné výkony na ramennom kĺbe;V;1;;;;;N;N;P;P;N;;;
2;S13-53;True;Jednoduché operačné výkony na kostiach a kĺboch nohy;V;1;;;;;N;N;P;P;N;;50;
2;S13-52;True;Jednoduché operačné výkony na kolennom kĺbe;V;1;;;;;N;N;P;P;N;;;
2;S13-51;True;Jednoduché operačné výkony na iných kĺboch;V;1;;;;;N;N;P;P;N;;;
