kod_hlavnej_diagnozy;nazov_hlavnej_diagnozy;kod_ms;nazov_ms
a168;Iná tuberkulóza dýchacej sústavy, bez údaja o bakteriologickom, molekulovobiologickom alebo histologickom potvrdení;S65-01;Tuberkulóza
a169;Tuberkulóza dýchacej sústavy, bez údaja o bakteriologickom, molekulovobiologickom alebo histologickom potvrdení, bližšie neurčená;S65-01;Tuberkulóza
a170;Tuberkulózna meningitída (G01*);S65-01;Tuberkulóza
a171;Meningový tuberkulóm (G07*);S65-01;Tuberkulóza
a178;Iná tuberkulóza nervovej sústavy;S65-01;Tuberkulóza
a179;Tuberkulóza nervovej sústavy, bližšie neurčená;S65-01;Tuberkulóza
a180;Tuberkulóza kostí a kĺbov;S65-01;Tuberkulóza
a181;Tuberkulóza močovopohlavnej sústavy;S65-01;Tuberkulóza
a182;Tuberkulózna periférna lymfadenopatia;S65-01;Tuberkulóza
a183;Tuberkulóza čriev, peritonea a mezentériových lymfatických uzlín;S65-01;Tuberkulóza
a184;Tuberkulóza kože a podkožného tkaniva;S65-01;Tuberkulóza
a185;Tuberkulóza oka;S65-01;Tuberkulóza
a186;Tuberkulóza ucha;S65-01;Tuberkulóza
a187;Tuberkulóza nadobličiek (E35.1*);S65-01;Tuberkulóza
a188;Tuberkulóza iných bližšie určených orgánov;S65-01;Tuberkulóza
a190;Akútna miliárna tuberkulóza na jedinom bližšie určenom mieste;S65-01;Tuberkulóza
a191;Akútna miliárna tuberkulóza na viacerých miestach;S65-01;Tuberkulóza
a192;Akútna miliárna tuberkulóza, bližšie neurčená;S65-01;Tuberkulóza
a198;Iná miliárna tuberkulóza;S65-01;Tuberkulóza
a199;Miliárna tuberkulóza, bližšie neurčená;S65-01;Tuberkulóza
a200;Bubonický mor;S71-02;Infekčné ochorenia
a201;Kožná forma moru;S71-02;Infekčné ochorenia
a202;Pľúcna forma moru;S65-06;Iné infekcie a zápaly dýchacích orgánov III
a203;Morová meningitída;S73-32;Infekcia nervového systému
a207;Septikemická forma moru;S71-03;Sepsa II
a208;Iná forma moru;S71-02;Infekčné ochorenia
a209;Bližšie neurčený mor;S71-02;Infekčné ochorenia
a210;Ulceroglandulárna tularémia;S71-02;Infekčné ochorenia
a211;Okuloglandulárna tularémia;S71-02;Infekčné ochorenia
a212;Pľúcna tularémia;S65-06;Iné infekcie a zápaly dýchacích orgánov III
a213;Gastrointestinálna tularémia;S66-09;Iné ochorenia GIT III
a217;Generalizovaná tularémia;S71-03;Sepsa II
a2181;Glandulárna tularémia;S71-08;Iné infekčné ochorenia
a2182;Orofaryngeálna tularémia;S71-08;Iné infekčné ochorenia
a2189;Iná forma tularémie;S71-08;Iné infekčné ochorenia
a219;Tularémia, bližšie neurčená;S71-08;Iné infekčné ochorenia
a220;Kožný antrax;S61-01;Závažné ochorenia kože
a221;Pľúcny antrax;S65-06;Iné infekcie a zápaly dýchacích orgánov III
a222;Gastrointestinálny antrax;S66-09;Iné ochorenia GIT III
a227;Antraxová sepsa;S71-03;Sepsa II
a228;Iná forma antraxu;S71-02;Infekčné ochorenia
a229;Bližšie neurčený antrax;S71-02;Infekčné ochorenia
a230;Brucelóza zapríčinená Brucella melitensis;S71-08;Iné infekčné ochorenia
a231;Brucelóza zapríčinená Brucella abortus;S71-08;Iné infekčné ochorenia
a232;Brucelóza zapríčinená Brucella suis;S71-08;Iné infekčné ochorenia
a233;Brucelóza zapríčinená Brucella canis;S71-08;Iné infekčné ochorenia
a238;Iná brucelóza;S71-08;Iné infekčné ochorenia
a239;Brucelóza, bližšie neurčená;S71-08;Iné infekčné ochorenia
a240;Sopľavka;S71-07;Sepsa
a241;Akútna alebo fulminantná melioidóza;S71-07;Sepsa
a242;Subakútna a chronická melioidóza;S71-08;Iné infekčné ochorenia
a243;Iná melioidóza;S71-08;Iné infekčné ochorenia
a244;Melioidóza, bližšie neurčená;S71-08;Iné infekčné ochorenia
a250;Spirilóza;S71-08;Iné infekčné ochorenia
a251;Streptobacilóza;S71-08;Iné infekčné ochorenia
a259;Horúčka po uhryznutí potkanom, bližšie neurčená;S71-08;Iné infekčné ochorenia
a260;Kožný eryzipeloid;S61-02;Infekcia/zápal kože a podkožia
a267;Eryzipelotrixová sepsa;S71-07;Sepsa
a268;Iná forma eryzipeloidu;S71-08;Iné infekčné ochorenia
a269;Bližšie neurčený eryzipeloid;S71-08;Iné infekčné ochorenia
a270;Leptospiróza zapríčinená Leptospira icterohaemorrhagiae [Weilova choroba];S71-07;Sepsa
a278;Iná forma leptospirózy;S73-32;Infekcia nervového systému
a279;Leptospiróza, bližšie neurčená;S71-08;Iné infekčné ochorenia
a280;Pasteurelóza;S71-08;Iné infekčné ochorenia
a281;Choroba z mačacieho škrabnutia;S71-08;Iné infekčné ochorenia
a282;Extraintestinálna yersinióza;S71-08;Iné infekčné ochorenia
a288;Iná baktériová zoonóza, bližšie určená, nezatriedená inde;S71-08;Iné infekčné ochorenia
a289;Baktériová zoonóza, bližšie neurčená;S71-08;Iné infekčné ochorenia
a300;Neurčená [indeterminate] lepra;S71-02;Infekčné ochorenia
a301;Tuberkuloidná lepra;S71-02;Infekčné ochorenia
a302;Hraničná [borderline] tuberkuloidná lepra;S71-02;Infekčné ochorenia
a303;Hraničná [borderline] lepra;S71-02;Infekčné ochorenia
a304;Hraničná [borderline] lepromatózna lepra;S71-02;Infekčné ochorenia
a305;Lepromatózna lepra;S71-02;Infekčné ochorenia
a308;Iná forma lepry;S71-02;Infekčné ochorenia
a309;Lepra, bližšie neurčená;S71-02;Infekčné ochorenia
a310;Pľúcna mykobakterióza;S65-10;Iné ochorenie dýchacích orgánov III
a311;Kožná mykobakterióza;S61-01;Závažné ochorenia kože
a3180;Diseminovaná atypická mykobakterióza;S71-02;Infekčné ochorenia
a3188;Iná infekcia zapríčinená mykobaktériou;S71-02;Infekčné ochorenia
a319;Mykobaktériová infekcia, bližšie neurčená;S71-02;Infekčné ochorenia
a320;Kožná listerióza;S71-02;Infekčné ochorenia
a321;Listériová meningitída a meningoencefalitída;S73-32;Infekcia nervového systému
a327;Listériová sepsa;S71-03;Sepsa II
a328;Iná forma listeriózy;S71-02;Infekčné ochorenia
a329;Listerióza, bližšie neurčená;S71-02;Infekčné ochorenia
a33;Tetanus novorodencov;S63-08;Hospitalizacia novorodenca II
a34;Tetanus počas gravidity, pôrodu a v šestonedelí;S11-18;Hospitalizácia po pôrode
a35;Iný tetanus;S71-02;Infekčné ochorenia
a360;Hltanová diftéria;S53-30;Iné ochorenia ucha, nosa, úst a krku
a361;Nosohltanová diftéria;S53-30;Iné ochorenia ucha, nosa, úst a krku
a362;Hrtanová diftéria;S53-30;Iné ochorenia ucha, nosa, úst a krku
a363;Kožná diftéria;S61-01;Závažné ochorenia kože
a368;Iná diftéria;S71-02;Infekčné ochorenia
a369;Bližšie neurčená diftéria;S71-02;Infekčné ochorenia
a370;Pertussis zapríčinený Bordetella pertussis;S65-29;Iné infekcie a zápaly dýchacích orgánov I 
a371;Pertussis zapríčinený Bordetella parapertussis;S65-29;Iné infekcie a zápaly dýchacích orgánov I 
a378;Pertussis zapríčinený iným druhom bordetely;S65-29;Iné infekcie a zápaly dýchacích orgánov I 
a379;Pertussis, bližšie neurčený;S65-29;Iné infekcie a zápaly dýchacích orgánov I 
a38;Scarlatina [Šarlach];S71-08;Iné infekčné ochorenia
a390;Meningokoková meningitída (G01*);S73-32;Infekcia nervového systému
a391;Waterhouseov-Friderichsenov syndróm (E35.1*);S71-03;Sepsa II
a392;Akútna meningokoková sepsa;S71-03;Sepsa II
a393;Chronická meningokoková sepsa;S71-03;Sepsa II
a394;Meningokoková sepsa, bližšie neurčená;S71-03;Sepsa II
a395;Meningokokové ochorenie srdca;S64-28;Iné ochorenia obehového systému
a398;Iná meningokoková infekcia;S71-03;Sepsa II
a399;Meningokoková infekcia, bližšie neurčená;S71-03;Sepsa II
a400;Sepsa zapríčinená streptokokom zo skupiny A;S71-07;Sepsa
a401;Sepsa zapríčinená streptokokom zo skupiny B;S71-07;Sepsa
a402;Sepsa zapríčinená streptokokom zo skupiny D;S71-07;Sepsa
a403;Sepsa zapríčinená Streptococcus pneumoniae;S71-07;Sepsa
a4081;Sepsa zapríčinená streptokokom zo skupiny C;S71-07;Sepsa
a4089;Iná streptokoková sepsa;S71-07;Sepsa
a409;Sepsa zapríčinená streptokokmi, bližšie neurčená;S71-07;Sepsa
a410;Sepsa zapríčinená Staphylococcus aureus;S71-07;Sepsa
a411;Sepsa zapríčinená iným bližšie určeným stafylokokom;S71-07;Sepsa
a412;Sepsa zapríčinená bližšie neurčeným stafylokokom;S71-07;Sepsa
a413;Sepsa zapríčinená Haemophilus influenzae;S71-07;Sepsa
a414;Sepsa zapríčinená anaeróbnou baktériou;S71-07;Sepsa
a4151;Sepsa zapríčinená Escherichia coli [E. coli];S71-07;Sepsa
a4152;Sepsa zapríčinená pseudomonas;S71-07;Sepsa
a4153;Sepsa zapríčinená multirezistentnou gramnegatívnou baktériou;S71-07;Sepsa
a4158;Sepsa zapríčinená inou gramnegatívnou baktériou;S71-07;Sepsa
a4181;Sepsa zapríčinená multirezistentnou grampozitívnou baktériou;S71-07;Sepsa
a4189;Iná sepsa, bližšie určená;S71-07;Sepsa
a419;Sepsa, bližšie neurčená;S71-07;Sepsa
a420;Pľúcna aktinomykóza;S65-06;Iné infekcie a zápaly dýchacích orgánov III
a421;Brušná aktinomykóza;S66-09;Iné ochorenia GIT III
a422;Cervikofaciálna aktinomykóza;S61-01;Závažné ochorenia kože
a427;Aktinomykotická sepsa;S71-03;Sepsa II
a428;Iná forma aktinomykózy;S71-02;Infekčné ochorenia
a429;Aktinomykóza, bližšie neurčená;S71-02;Infekčné ochorenia
a430;Pľúcna nokardióza;S65-10;Iné ochorenie dýchacích orgánov III
a431;Kožná nokardióza;S61-01;Závažné ochorenia kože
a438;Iná forma nokardiózy;S71-08;Iné infekčné ochorenia
a439;Bližšie neurčená nokardióza;S71-08;Iné infekčné ochorenia
a440;Systémová bartonelóza;S71-07;Sepsa
a441;Kožná a mukokutánna bartonelóza;S71-08;Iné infekčné ochorenia
a448;Iná forma bartonelózy;S71-08;Iné infekčné ochorenia
a449;Bartonelóza, bližšie neurčená;S71-08;Iné infekčné ochorenia
a46;Eryzipel [Erysipelas, Ruža];S61-02;Infekcia/zápal kože a podkožia
a480;Plynová gangréna;S63-01;Plynová gangréna
a481;Legionelóza s pneumóniou [Legionárska choroba];S65-20;Iné infekcie a zápaly dýchacích orgánov II 
a482;Legionelóza bez pneumónie [Pontiacka horúčka];S65-29;Iné infekcie a zápaly dýchacích orgánov I 
a483;Syndróm toxického šoku;S71-07;Sepsa
a484;Brazílska purpurová horúčka;S71-08;Iné infekčné ochorenia
a488;Iná baktériová choroba, bližšie určená;S71-08;Iné infekčné ochorenia
a490;Stafylokoková infekcia bez bližšieho určenia miesta;S71-08;Iné infekčné ochorenia
a491;Streptokoková infekcia bez bližšieho určenia miesta;S71-08;Iné infekčné ochorenia
a492;Infekcia haemophilus influenzae bez bližšieho určenia miesta;S71-08;Iné infekčné ochorenia
a493;Mykoplazmová infekcia bez bližšieho určenia miesta;S71-08;Iné infekčné ochorenia
a498;Iná baktériová infekcia bez bližšieho určenia miesta;S71-08;Iné infekčné ochorenia
a499;Bližšie neurčená baktériová infekcia, bez bližšieho určenia miesta;S71-08;Iné infekčné ochorenia
a500;Včasný vrodený syfilis, symptomatický;S61-01;Závažné ochorenia kože
a501;Včasný vrodený syfilis, latentný;S61-01;Závažné ochorenia kože
a502;Včasný vrodený syfilis, bližšie neurčený;S61-01;Závažné ochorenia kože
a503;Neskorá vrodená syfilitická okulopatia;S62-43;Infekcie a zápaly oka a očných adnexov
a504;Neskorý vrodený neurosyfilis [Juvenilný neurosyfilis];S73-32;Infekcia nervového systému
a505;Iný neskorý vrodený syfilis, symptomatický;S61-01;Závažné ochorenia kože
a506;Neskorý vrodený syfilis, latentný;S61-01;Závažné ochorenia kože
a507;Neskorý vrodený syfilis, bližšie neurčený;S61-01;Závažné ochorenia kože
a509;Vrodený syfilis, bližšie neurčený;S61-01;Závažné ochorenia kože
a510;Primárny genitálny syfilis;S61-01;Závažné ochorenia kože
a511;Primárny análny syfilis;S61-01;Závažné ochorenia kože
a512;Primárny syfilis na inom mieste;S61-01;Závažné ochorenia kože
a513;Sekundárny syfilis kože a slizníc;S61-01;Závažné ochorenia kože
a514;Iná forma sekundárneho syfilisu;S61-01;Závažné ochorenia kože
a515;Včasný syfilis, latentný;S61-01;Závažné ochorenia kože
a519;Včasný syfilis, bližšie neurčený;S61-01;Závažné ochorenia kože
a520;Kardiovaskulárny syfilis;S64-28;Iné ochorenia obehového systému
a521;Neurosyfilis, symptomatický;S73-32;Infekcia nervového systému
a522;Neurosyfilis, asymptomatický;S73-32;Infekcia nervového systému
a523;Neurosyfilis, bližšie neurčený;S73-32;Infekcia nervového systému
a527;Neskorý syfilis, symptomatický, iná forma;S61-01;Závažné ochorenia kože
a528;Neskorý syfilis, latentný;S61-01;Závažné ochorenia kože
a529;Neskorý syfilis, bližšie neurčený;S61-01;Závažné ochorenia kože
a530;Latentný syfilis, bližšie neurčený ako včasný alebo neskorý;S61-01;Závažné ochorenia kože
a539;Syfilis, bližšie neurčený;S61-01;Závažné ochorenia kože
a540;Gonokoková infekcia dolných častí močovopohlavnej sústavy bez abscesu uretrových alebo predsieňových žliaz;S59-55;Iné ochorenia mužských pohlavných orgánov
a541;Gonokoková infekcia dolných častí močovopohlavnej sústavy s abscesom uretrových a predsieňových žliaz;S59-55;Iné ochorenia mužských pohlavných orgánov
a542;Gonokoková pelveoperitonitída a iná gonokoková močovopohlavná infekcia;S59-55;Iné ochorenia mužských pohlavných orgánov
a543;Gonokoková infekcia oka;S62-43;Infekcie a zápaly oka a očných adnexov
a544;Gonokoková infekcia svalovo-kostrovej sústavy;S61-02;Infekcia/zápal kože a podkožia
a545;Gonokoková faryngitída;S63-40;Zápal stredného ucha alebo infekcia horných dýchacích ciest
a546;Gonokoková infekcia anusu a rekta;S66-09;Iné ochorenia GIT III
a548;Iná gonokoková infekcia;S61-01;Závažné ochorenia kože
a549;Gonokoková infekcia, bližšie neurčená;S61-01;Závažné ochorenia kože
a55;Lymphogranuloma venereum (chlamýdiový);S59-55;Iné ochorenia mužských pohlavných orgánov
a560;Chlamýdiová infekcia dolných častí močovopohlavnej sústavy;S59-55;Iné ochorenia mužských pohlavných orgánov
a561;Chlamýdiová infekcia panvovej pobrušnice a močovopohlavných orgánov;S59-55;Iné ochorenia mužských pohlavných orgánov
a562;Chlamýdiová infekcia močovopohlavnej sústavy, bližšie neurčená;S59-55;Iné ochorenia mužských pohlavných orgánov
a563;Chlamýdiová infekcia anusu a rekta;S66-09;Iné ochorenia GIT III
a564;Chlamýdiová infekcia faryngu;S63-40;Zápal stredného ucha alebo infekcia horných dýchacích ciest
a568;Pohlavne prenosná chlamýdiová infekcia na iných miestach;S59-55;Iné ochorenia mužských pohlavných orgánov
a57;Mäkký vred [ulcus molle];S59-55;Iné ochorenia mužských pohlavných orgánov
a58;Granuloma venereum (inguinale);S59-55;Iné ochorenia mužských pohlavných orgánov
a590;Urogenitálna trichomonóza;S59-55;Iné ochorenia mužských pohlavných orgánov
a598;Trichomonóza na iných miestach;S61-01;Závažné ochorenia kože
a599;Trichomonóza, bližšie neurčená;S61-01;Závažné ochorenia kože
a600;Infekcia genitálií a močovopohlavnej sústavy zapríčinená herpetickým vírusom;S59-55;Iné ochorenia mužských pohlavných orgánov
a601;Infekcia perianálnej kože a rekta zapríčinená herpetickým vírusom;S59-55;Iné ochorenia mužských pohlavných orgánov
a609;Anogenitálna infekcia zapríčinená herpetickým vírusom, bližšie neurčená;S59-55;Iné ochorenia mužských pohlavných orgánov
a638;Iná prevažne pohlavne prenosná choroba, bližšie určená;S59-55;Iné ochorenia mužských pohlavných orgánov
a64;Pohlavne prenosná choroba, bližšie neurčená;S59-55;Iné ochorenia mužských pohlavných orgánov
a65;Nevenerický syfilis;S61-01;Závažné ochorenia kože
a660;Primárna lézia pri frambézii;S61-04;Iné ochorenia kože, podkožia a slizníc
a661;Mnohopočetné papilómy a vlhká plazivá frambézia;S61-04;Iné ochorenia kože, podkožia a slizníc
a662;Iné počiatočné lézie kože pri frambézii;S61-01;Závažné ochorenia kože
a663;Hyperkeratóza pri frambézii;S61-01;Závažné ochorenia kože
a664;Gumy a vredy pri frambézii;S61-01;Závažné ochorenia kože
a665;Gangóza;S53-30;Iné ochorenia ucha, nosa, úst a krku
a666;Kostné a kĺbové lézie pri frambézii;S56-45;Iné ochorenia pohybového systému
a667;Iné prejavy frambézie;S71-02;Infekčné ochorenia
a668;Latentná frambézia;S71-02;Infekčné ochorenia
a669;Bližšie neurčená frambézia;S71-02;Infekčné ochorenia
a670;Pinta, primárne lézie;S61-04;Iné ochorenia kože, podkožia a slizníc
a671;Pinta, stredne pokročilé lézie;S61-04;Iné ochorenia kože, podkožia a slizníc
a672;Pinta, neskoré lézie;S61-04;Iné ochorenia kože, podkožia a slizníc
a673;Pinta, zmiešané lézie;S61-04;Iné ochorenia kože, podkožia a slizníc
a679;Pinta, bližšie neurčená;S61-04;Iné ochorenia kože, podkožia a slizníc
a680;Návratná horúčka prenášaná všami;S71-08;Iné infekčné ochorenia
a681;Návratná horúčka prenášaná kliešťami;S71-08;Iné infekčné ochorenia
a689;Návratná horúčka, bližšie neurčená;S71-08;Iné infekčné ochorenia
a690;Nekrotizujúca ulcerózna stomatitída;S63-40;Zápal stredného ucha alebo infekcia horných dýchacích ciest
a691;Iná fusospirochetóza;S63-40;Zápal stredného ucha alebo infekcia horných dýchacích ciest
a6921;Lymská choroba - včasná diseminovaná infekcia, kožná forma;S71-08;Iné infekčné ochorenia
a6922;Lymská choroba - včasná neuroborelióza;S71-08;Iné infekčné ochorenia
a6923;Lymská karditída;S71-08;Iné infekčné ochorenia
a6924;Lymská artritída;S71-08;Iné infekčné ochorenia
a6925;Lymská choroba - očná forma;S71-08;Iné infekčné ochorenia
a6926;Lymská choroba - chronická neuroborelióza;S71-08;Iné infekčné ochorenia
a6927;Lymská choroba - Acrodermatitis chronica atroficans;S71-08;Iné infekčné ochorenia
a6929;Iná Lymská choroba;S71-08;Iné infekčné ochorenia
a698;Iná infekcia zapríčinená spirochétami, bližšie určená;S71-08;Iné infekčné ochorenia
a699;Infekcia zapríčinená spirochétami, bližšie neurčená;S71-08;Iné infekčné ochorenia
a70;Infekcia zapríčinená Chlamydia psittaci;S65-20;Iné infekcie a zápaly dýchacích orgánov II 
a710;Trachóm, začiatočné štádium;S62-43;Infekcie a zápaly oka a očných adnexov
a711;Trachóm, aktívne štádium;S62-43;Infekcie a zápaly oka a očných adnexov
a719;Trachóm, bližšie neurčený;S62-43;Infekcie a zápaly oka a očných adnexov
a740;Chlamýdiový zápal spojoviek;S62-43;Infekcie a zápaly oka a očných adnexov
a7481;Chlamýdiová dilatačná kardiomyopatia;S71-09;Iné vírusové ochorenia
a7482;Chlamýdiová myokarditída;S71-09;Iné vírusové ochorenia
a7483;Chlamýdiová endokarditída;S71-09;Iné vírusové ochorenia
a7484;Chlamýdiová artritída;S71-09;Iné vírusové ochorenia
a7489;Iná chlamýdiová choroba;S71-08;Iné infekčné ochorenia
a749;Chlamýdiová infekcia, bližšie neurčená;S71-09;Iné vírusové ochorenia
a750;Škvrnitý týfus prenášaný všami zapríčinený Rickettsia prowazeki;S71-08;Iné infekčné ochorenia
a751;Návratný škvrnitý týfus [Brillova choroba];S71-08;Iné infekčné ochorenia
a752;Škvrnitý týfus zapríčinený Rickettsia typhi [Riketsia mooseri];S71-08;Iné infekčné ochorenia
a753;Škvrnitý týfus zapríčinený Rickettsia tsutsugamushi [Rickettsia orientalis];S71-08;Iné infekčné ochorenia
a759;Škvrnitý týfus, bližšie neurčený;S71-08;Iné infekčné ochorenia
a770;Škvrnitá horúčka zapríčinená Rickettsia rickettsii;S71-08;Iné infekčné ochorenia
a771;Škvrnitá horúčka zapríčinená Rickettsia conorii;S71-08;Iné infekčné ochorenia
a772;Škvrnitá horúčka zapríčinená Rickettsia sibirica;S71-08;Iné infekčné ochorenia
a773;Škvrnitá horúčka zapríčinená Rickettsia australis;S71-08;Iné infekčné ochorenia
a778;Iná škvrnitá horúčka;S71-08;Iné infekčné ochorenia
a779;Škvrnitá horúčka, bližšie neurčená;S71-08;Iné infekčné ochorenia
a78;Q-horúčka;S71-07;Sepsa
