kod_hlavnej_diagnozy;nazov_hlavnej_diagnozy;kod_ms;nazov_ms
s0149;Otvorená rana líca a temporomandibulárnej oblasti: iné a viaceré časti;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s017;Viaceré otvorené rany hlavy;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s0180;Otvorená rana iných častí hlavy, bližšie neurčená;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s019;Otvorená rana hlavy, bližšie neurčenej časti;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s070;Drvivé poranenie tváre;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s080;Avulzia (odtrhnutie) vlasatej časti hlavy;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s090;Poranenie cievy hlavy, nezatriedené inde;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s098;Iné poranenie hlavy, bližšie určené;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s100;Pomliaždenie hrdla;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s1010;Iné a bližšie neurčené povrchové poranenia hrdla: druh poranenia bližšie neurčený;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s1011;Iné a bližšie neurčené povrchové poranenia hrdla: odrenina;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s1014;Iné a bližšie neurčené povrchové poranenia hrdla: povrchové cudzie telesá (úlomky);S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s1018;Iné a bližšie neurčené povrchové poranenia hrdla: iné;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s107;Viaceré povrchové poranenia krku;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s1080;Povrchové poranenie inej časti krku: druh poranenia bližšie neurčený;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s1081;Povrchové poranenie inej časti krku: odrenina;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s1084;Povrchové poranenie inej časti krku: povrchové cudzie teleso (úlomky);S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s1085;Povrchové poranenie inej časti krku: pomliaždenie;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s1088;Povrchové poranenie inej časti krku: iné;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s1090;Povrchové poranenie krku, bližšie neurčená časť: druh poranenia bližšie neurčený;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s1091;Povrchové poranenie krku, bližšie neurčená časť: odrenina;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s1094;Povrchové poranenie krku, bližšie neurčená časť: povrchové cudzie telesá (úlomky);S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s1095;Povrchové poranenie krku, bližšie neurčená časť: pomliaždenie;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s1098;Povrchové poranenie krku, bližšie neurčená časť: iné;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s117;Viaceré otvorené rany krku;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s1180;Bližšie neurčená otvorená rana iných častí krku;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s119;Otvorená rana krku, bližšie neurčenej časti;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s200;Pomliaždenie prsníka;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s2010;Iné a bližšie neurčené povrchové poranenia prsníka: druh poranenia bližšie neurčený;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s2011;Iné a bližšie neurčené povrchové poranenia prsníka: odrenina;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s2014;Iné a bližšie neurčené povrchové poranenia prsníka: povrchové cudzie telesá (úlomky);S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s2018;Iné a bližšie neurčené povrchové poranenia prsníka: iné;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s202;Pomliaždenie hrudníka;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s2030;Iné povrchové poranenie prednej steny hrudníka: druh poranenia bližšie neurčený;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s2031;Iné povrchové poranenie prednej steny hrudníka: odrenina;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s2034;Iné povrchové poranenie prednej steny hrudníka: povrchové cudzie telesá (úlomky);S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s2038;Iné povrchové poranenie prednej steny hrudníka: iné;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s2040;Iné povrchové poranenie zadnej steny hrudníka: druh poranenia bližšie neurčený;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s2041;Iné povrchové poranenie zadnej steny hrudníka: odrenina;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s2044;Iné povrchové poranenie zadnej steny hrudníka: povrchové cudzie telesá (úlomky);S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s2048;Iné povrchové poranenie zadnej steny hrudníka: iné;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s207;Viaceré povrchové poranenia hrudníka;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s2080;Povrchové poranenie inej a bližšie neurčenej časti hrudníka: druh poranenia bližšie neurčený;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s2081;Povrchové poranenie inej a bližšie neurčenej časti hrudníka: odrenina;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s2084;Povrchové poranenie inej a bližšie neurčenej časti hrudníka: povrchové cudzie teleso (úlomky);S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s2085;Povrchové poranenie inej a bližšie neurčenej časti hrudníka: pomliaždenie;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s2088;Povrchové poranenie inej a bližšie neurčenej časti hrudníka: iné;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s210;Otvorená rana prsníka;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s211;Otvorená rana prednej steny hrudníka;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s212;Otvorená rana zadnej steny hrudníka;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s217;Viaceré otvorené rany steny hrudníka;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s2180;Otvorená rana inej časti hrudníka, bližšie neurčenej;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s219;Otvorená rana hrudníka, bližšie neurčenej časti;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s298;Iné poranenie hrudníka, bližšie určené;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s299;Poranenie hrudníka, bližšie neurčené;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s300;Pomliaždenie driekovokrížovej oblasti a panvy;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s301;Pomliaždenie brušnej steny;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s307;Viaceré povrchové poranenia brucha, drieku a panvy;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s3080;Iné povrchové poranenie brucha, drieku a panvy: druh poranenia bližšie neurčený;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s3081;Iné povrchové poranenie brucha, drieku a panvy: odrenina;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s3084;Iné povrchové poranenie brucha, drieku a panvy: povrchové cudzie telesá (úlomky);S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s3085;Iné povrchové poranenie brucha, drieku a panvy: pomliaždenie;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s3088;Iné povrchové poranenie brucha, drieku a panvy: iné;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s3090;Povrchové poranenie bližšie neurčenej časti brucha, drieku a panvy: druh poranenia bližšie neurčený;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s3091;Povrchové poranenie bližšie neurčenej časti brucha, drieku a panvy: odrenina;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s3094;Povrchové poranenie bližšie neurčenej časti brucha, drieku a panvy: povrchové cudzie telesá (úlomky);S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s3095;Povrchové poranenie bližšie neurčenej časti brucha, drieku a panvy: pomliaždenie;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s3098;Povrchové poranenie bližšie neurčenej časti brucha, drieku a panvy: iné;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s310;Otvorená rana drieku a panvy;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s311;Otvorená rana brušnej steny;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s317;Viaceré otvorené rany brucha, drieku a panvy;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s3180;Otvorená rana inej a bližšie neurčenej časti brucha;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s3980;Zlomenina penisu;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s400;Pomliaždenie pleca a ramena;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s407;Viaceré povrchové poranenia pleca a ramena;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s4081;Iné povrchové poranenia pleca a ramena: odrenina;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s4084;Iné povrchové poranenia pleca a ramena: povrchové cudzie telesá (úlomky);S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s4088;Iné povrchové poranenia pleca a ramena: iné;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s409;Povrchové poranenie pleca a ramena, bližšie neurčené;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s410;Otvorená rana pleca;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s411;Otvorená rana ramena;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s417;Viaceré otvorené rany pleca a ramena;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s4180;Bližšie neurčená otvorená rana inej a bližšie neurčenej časti plecového pletenca;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s47;Drvivé poranenie pleca a ramena;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s497;Viaceré poranenia pleca a ramena;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s498;Iné poranenie pleca a ramena, bližšie určené;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s499;Poranenie pleca a ramena, bližšie neurčené;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s500;Pomliaždenie lakťa;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s501;Pomliaždenie iných a bližšie neurčených častí predlaktia;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s507;Viaceré povrchové poranenia predlaktia;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s5081;Iné povrchové poranenie predlaktia: odrenina;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s5084;Iné povrchové poranenie predlaktia: povrchové cudzie teleso (úlomky);S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s5088;Iné povrchové poranenie predlaktia: Ostatné povrchové poranenia lakťa;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s509;Povrchové poranenie predlaktia, bližšie neurčené;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s510;Otvorená rana lakťa;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s517;Viaceré otvorené rany predlaktia;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s5180;Bližšie neurčená otvorená rana iných častí predlaktia;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s519;Otvorená rana predlaktia bližšie neurčenej časti;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s550;Poranenie a.ulnaris v úrovni predlaktia;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s551;Poranenie a.radialis v úrovni predlaktia;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s552;Poranenie žily v úrovni predlaktia;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s557;Poranenie viacerých krvných ciev v úrovni predlaktia;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s558;Poranenie iných krvných ciev v úrovni predlaktia;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s559;Poranenie bližšie neurčenej krvnej cievy v úrovni predlaktia;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s597;Viaceré poranenia lakťa a predlaktia;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s598;Iné a bližšie určené poranenie predlaktia;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s599;Poranenie predlaktia, bližšie neurčené;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s600;Pomliaždenie prsta (prstov) ruky bez poškodenia nechta;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s601;Pomliaždenie prsta (prstov) ruky s poškodením nechta;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s602;Pomliaždenie iných častí zápästia a ruky;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s607;Viaceré povrchové poranenia zápästia a ruky;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s6081;Iné povrchové poranenia zápästia a ruky: odrenina;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s6084;Iné povrchové poranenia zápästia a ruky: povrchové cudzie telesá (úlomky);S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s6088;Iné povrchové poranenia zápästia a ruky: iné;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s609;Povrchové poranenie zápästia a ruky, bližšie neurčené;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s610;Otvorená rana prsta (prstov) ruky bez poškodenia nechta;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s611;Otvorená rana prsta (prstov) ruky s poškodením nechta;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s617;Viaceré otvorené rany zápästia a ruky;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s6180;Bližšie neurčená otvorená rana iných častí zápästia a ruky;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s619;Otvorená rana časti zápästia a ruky, bližšie neurčená;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s650;Poranenie a.ulnaris v úrovni zápästia a ruky;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s651;Poranenie a.radialis v úrovni zápästia a ruky;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s652;Poranenie ciev povrchového dlaňového oblúka;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s653;Poranenie ciev hĺbkového dlaňového oblúka;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s654;Poranenie krvnej cievy (ciev) palca;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s655;Poranenie krvnej cievy (ciev) iného prsta ruky;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s657;Poranenie viacerých krvných ciev v úrovni zápästia a ruky;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s658;Poranenie inej krvnej cievy v úrovni zápästia a ruky;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s659;Poranenie bližšie neurčenej krvnej cievy v úrovni zápästia a ruky;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s697;Viaceré poranenia zápästia a ruky;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s698;Iné poranenia zápästia a ruky, bližšie určené;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s699;Poranenie zápästia a ruky, bližšie neurčené;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s700;Pomliaždenie bedra;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s701;Pomliaždenie stehna;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s707;Viaceré povrchové poranenia bedra a stehna;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s7081;Iné povrchové poranenia bedra a stehna: odrenina;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s7084;Iné povrchové poranenia bedra a stehna: povrchové cudzie teleso (úlomky);S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s7088;Iné povrchové poranenia bedra a stehna: iné;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s709;Povrchové poranenie bedra a stehna, bližšie neurčené;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s710;Otvorená rana bedra;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s711;Otvorená rana stehna;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s717;Viaceré otvorené rany bedra a stehna;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s7180;Otvorená rana inej a bližšie neurčenej časti panvového pletenca;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s797;Viaceré poranenia bedra a stehna;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s798;Iné a bližšie určené poranenie bedra a stehna;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s799;Poranenie bedra a stehna, bližšie neurčené;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s800;Pomliaždenie kolena;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s801;Pomliaždenie iných a bližšie neurčených častí predkolenia;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s807;Viaceré povrchové poranenia predkolenia;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s8081;Iné povrchové poranenie predkolenia: odrenina;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s8084;Iné povrchové poranenie predkolenia: povrchové cudzie teleso (úlomky);S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s8088;Iné povrchové poranenie predkolenia: iné;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s809;Povrchové poranenie predkolenia, bližšie neurčené;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s810;Otvorená rana kolena;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s817;Viaceré otvorené rany predkolenia;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s8180;Otvorená rana iných častí predkolenia, bližšie neurčená;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s819;Otvorená rana bližšie neurčenej časti predkolenia;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s850;Poranenie zákolennej tepny [a.poplitea];S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s851;Poranenie (prednej) (zadnej) píšťalovej tepny [a.tibialis];S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s852;Poranenie ihlicovej tepny [a.peronea];S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s853;Poranenie veľkej skrytej žily [v. saphena magna] v úrovni predkolenia;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
s854;Poranenie malej skrytej žily [v. saphena parva] v úrovni predkolenia;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
